epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1845,1.00096,4.40073,1.40427,0,0,0,0,0.51369,4.65299,1.16534,5.321e-05,5.321e-05,5.321e-05
2,129.372,0.8141,3.60241,1.3269,0.95918,0.46078,0.71417,0.65057,0.52447,4.47408,1.15335,0.000107381,0.000107381,0.000107381
3,192.897,0.85156,2.48521,1.35395,0.51445,0.87255,0.82491,0.67458,0.74351,3.79987,1.272,0.000159321,0.000159321,0.000159321
4,259.898,0.86419,1.94523,1.36572,0.88121,0.66667,0.85307,0.66296,0.76142,3.02109,1.3135,0.00020903,0.00020903,0.00020903
5,316.283,0.82589,1.65523,1.3048,0.8447,0.70588,0.82708,0.65356,0.72129,2.07489,1.33863,0.000256507,0.000256507,0.000256507
6,374.937,0.84848,1.53205,1.41777,0.8649,0.81593,0.87866,0.65433,0.70783,1.94595,1.30935,0.000282013,0.000282013,0.000282013
